Name,Title,Units
MADJU-201,Intro Adm Justice,3
MADJU-201,Intro Adm Justice,3
MADJU-201,Intro Adm Justice,3
MADJU-201,Intro Adm Justice,3
MADJU-201,Intro Adm Justice,3
MADJU-201,Intro Adm Justice,3
MADJU-201,Intro Adm Justice,3
MADJU-201,Intro Adm Justice,3
MADJU-201,Intro Adm Justice,3
MADJU-202,Prin Justice Systm,3
MADJU-202,Prin Justice Systm,3
MADJU-202,Prin Justice Systm,3
MADJU-203,Concepts Criminal Law,3
MADJU-203,Concepts Criminal Law,3
MADJU-203,Concepts Criminal Law,3
MADJU-204,Legal Aspects Evidence,3
MADJU-204,Legal Aspects Evidence,3
MADJU-205,Community Relations,3
MADJU-205,Community Relations,3
MADJU-205,Community Relations,3
MADJU-210,Communications in Crim Justice,3
MADJU-212,Criminal Investigation,3
MADJU-212,Criminal Investigation,3
MADJU-212,Criminal Investigation,3
MADJU-213,Patrol Procedures,3
MADJU-215,Intro to Firearms,3
MADJU-217,Substance Abuse,3
MADJU-219,Corrections Firearms Training,3
MADJU-222,Profiling Terrorism,3
MADJU-232,Juvenile Justice Proced,3
MADJU-234,Crime Causation,3
MADJU-235,Intro to Corrections,3
MADJU-235,Intro to Corrections,3
MADJU-236,Correctional Law,3
MADJU-243,Dom Violence Crisis Int,3
MADJU-351,Elements of Super Public Safe,3
MAG-101,Leadership in Agriculture B,2
MAG-115,Intro Ag Educ & Careers,1
MAG-115,Intro Ag Educ & Careers,1
MAG-115,Intro Ag Educ & Careers,1
MAG-120,Intro Agric Education,2
MAG-259A,Agricultural Work Experience,1
MAG-259B,Agricultural Work Experience,2
MAG-259C,Agricultural Work Experience,3
MAG-259D,Agricultural Work Experience,4
MAGEC-200,Agric Accounting/Analys,3
MAGEC-200,Agric Accounting/Analys,3
MAGEC-209,Import/Export Fundmtls,3
MAGEC-210,Elements of Ag Economics,3
MAGEC-210,Elements of Ag Economics,3
MAGEC-225,Ag Computer Appl,3
MAGEC-225,Ag Computer Appl,3
MAGEC-280,Ag Sales & Service,3
MAGGE-146,"Agriculture, Environ & Society",3
MAGM-200,Intro Mechanical Technology,3
MAGM-200,Intro Mechanical Technology,3
MAGM-210,Agricultural Welding,3
MAGM-210,Agricultural Welding,3
MAGM-210,Agricultural Welding,3
MAGM-212,Mechanical Systems Design,3
MAGM-214,Equipment Serv & Safety,1
MAGM-235,Irrigation and Drainage,3
MAGM-237,"Irrigat Wells, Pumps, and Driv",3
MAGM-238,Irrigation System Design,3
MAGM-241,Diesel Engine Principles,3
MAGM-243,Heavy Machinery Elect Systems,3
MAGM-280,Mbl Machnry Hydrlc Systems,3
MAGM-289,Princ Power Mech/Sm Eng,3
MANAT-125,Human Anatomy,4
MANAT-125,Human Anatomy,4
MANAT-125,Human Anatomy,4
MANAT-125,Human Anatomy,4
MANAT-125,Human Anatomy,4
MANAT-125,Human Anatomy,4
MANAT-125,Human Anatomy,4
MANAT-125,Human Anatomy,4
MANSC-55,Intro to Veterinary Tech,3
MANSC-200,Intro Animal Science,3
MANSC-200,Intro Animal Science,3
MANSC-200,Intro Animal Science,3
MANSC-201,Beef Cattle Science,3
MANSC-202,Swine Science,3
MANSC-210,Livestk Select Evaluate,3
MANSC-215,Animal Hlth & Sanitation,3
MANSC-220,Dairy Industry/Dairy Science,3
MANSC-221,Dairy Cattle Selection,3
MANSC-224,Dairy Feeds & Feeding,3
MANSC-236,Poultry Breeding & Selection,3
MANSC-240,Beef Fitting & Showing,2
MANSC-243,Horse Fitting & Show,2
MANSC-250,"Vet Phys, Anat & Terminology",3
MANSC-250,"Vet Phys, Anat & Terminology",3
MANSC-251,Veterinary Pharmacy Procedures,2
