Name,Title,Units
MADJU-201,Intro Adm Justice,3
MADJU-202,Prin Justice Systm,3
MADJU-203,Concepts Criminal Law,3
MADJU-204,Legal Aspects Evidence,3
MADJU-205,Community Relations,3
MADJU-212,Criminal Investigation,3
MADJU-217,Substance Abuse,3
MADJU-232,Juvenile Justice Proced,3
MADJU-234,Crime Causation,3
MADJU-235,Intro to Corrections,3
MADJU-236,Correctional Law,3
MADJU-243,Dom Violence Crisis Int,3
MADJU-351,Elements of Super Public Safe,3
MAG-249,Agriculture Internship,2
MAG-259A,Agricultural Work Experience,1
MAG-259B,Agricultural Work Experience,2
MAG-259C,Agricultural Work Experience,3
MAG-259D,Agricultural Work Experience,4
MAGEC-225,Ag Computer Appl,3
MAGGE-191B,Agriculture Field Studies,2
MAGM-212,Mechanical Systems Design,3
MANAT-125,Human Anatomy,4
MANSC-55,Intro to Veterinary Tech,3
MANSC-200,Intro Animal Science,3
MANSC-255,Prep Vet Surg & Dental Asst,3
MANSC-258,Beginning Horsemanship,3
MANTHR-101,Biological Anthropology,3
MANTHR-102,Cultural Anthropology,3
MANTHR-190,International Anthr Field Stud,3
MAP-50,Human Anat-Physio,3
MART-102,Intro to Computer Graphics,3
MART-108,Ceramics 1,3
MART-109,Ceramics 2,3
MART-110,Ceramics 3,3
MART-120,Basic Drawing 1,3
MART-160,Appreciation of Art,3
MART-165,History of Art 2,3
MART-170,Basic Photography,3
MASTRO-151,Intro to Astronomy Lab,1
MASTRO-160,Intro to Modern Astronomy,3
MAUBDY-321,Automotive Spray Refinishng 1,3
MAUTEC-311,Basic Automotive Systems,4
MAUTEC-315,A1: Engine Repair,3.5
MAUTEC-320,L1: Advance Engine Performance,4
MAUTEC-321,A5: Brakes Systems,3.5
MAUTEC-369,A6: Auto Electricity 2,4
MBIO-111,General Biology,4
MBIO-115,"Genetics, Evolution & Society",3
MBIO-116,Biology: Human Perspective,4
MBIO-140,Intro to Marine Biology,4
MBUSAD-201,Financial Accounting,4
MBUSAD-202,Managerial Accounting,4
MBUSAD-203,Computer Accounting,3
MBUSAD-210,Business Communication,3
MBUSAD-218,Business Law,4
MBUSAD-230,Personal Finance,3
MBUSAD-240,Principles of Management,3
MBUSAD-245,Principles of Marketing,3
MBUSAD-248,Introduction to Business,3
MBUSAD-274,Human Resources Managment,3
MBUSAD-310,Bookkeeping 1,3
MBUSAD-358,Advertising & Sales Promotion,3
MCHEM-101,General Chemistry 1,5
MCHEM-102,General Chemistry 2,5
MCHEM-133,Prob Solv Skills for Chem 143,1
MCHEM-142,Pre-General Chemistry,3
MCHEM-143,Introductory College Chemistry,4
MCLDDV-101,Princ Pract Tchng Yng Chldrn,3
MCLDDV-103,Child Growth & Development,3
MCLDDV-107,Introduction to Curriculum,3
MCLDDV-109,Child-Family-Community,3
MCLDDV-111,"Health, Safety, and Nutrition",3
MCLDDV-121,Guidance of Young Children,3
MCLDDV-128,Preschool Practicum,3
MCLDDV-163,Curric/Strats Chldrn Spec Nds,3
MCLDDV-167,Observation and Assessment,3
MCLDDV-173,Autism: Overview & Treatment,3
MCLDDV-291,Creative Act for Young Child,3
MCLDDV-292,Math/Sci Curr for Young Child,3
MCMPET-206,"Prs Cmpr Assm, Upgrd & Repair",3
MCMPGR-202,Intro to Computer Graphics,3
MCMPGR-235,Beginning Photoshop,3
MCMPGR-263,Internet Literacy,3
MCMPGR-266,Interactive Media Design & Dev,3
MCMPGR-267,Dreamweaver in Web Design,3
MCOLSK-100,Fndtns 1st Yr College Success,3
MCOMM-100,Fundamentals Public Speaking,3
MCOMM-102,Intro to Human Communication,3
MCOMM-103,Interpersonal Communication,3
MCOMM-107,Introduction to Debate,3
MCSCI-200,Tech Computer Literacy,3
MCSCI-201,General Computer Literacy,3
MCSCI-203,Symbolic Logic,3
MCSCI-220,Business Info Systems,3
MCSCI-221,Progr With Visual Basic,3
MCSCI-223,Spreadsheet Software,3
MCSCI-270,Intro to Programming,3
MDANCE-181,Dance Reh and Perf 1,2
MDANCE-182,Dance Reh and Perf 2,2
MDANCE-183,Dance Reh and Perf 3,2
MDANCE-184,Dance Reh and Perf 4,2
MEASCI-161,Earth Science,4
MECON-101,Principles of Macroeconomics,3
MECON-102,Principles Microeconomics,3
MELTEC-208,Fund of Electricity & Electron,3
MELTEC-229,Commercial & Industrial Wiring,3.5
MELTEC-230,Blprnt Rdng for Electricians,2
MELTEC-232,Intro Prog Logic Controllers,2
MELTEC-320,Electrical Safety,1
MEMS-350,1st Rspndr w/ Hlthcr Prov CPR,3
MENGL-49,Basic English Skills,5
MENGL-50,Basic Comp & Read,5
MENGL-101,Composition and Reading,3
MENGL-103,Adv Comp & Critical Thinkng,3
MENGL-157,Bible As Lit-New Testament,3
MENGL-169,Children's Literature,3
MENGL-172,Intro to Chicano/A Lit,3
MESL-2,ESL: Elem Engl Life/Work,5
MESL-3,ESL: High Elem Engl Life/Work,5
MESL-4,ESL: Interm Engl Life/Work,5
MESL-5,ESL: High Intm Engl Life/Work,5
MESL-6,ESL: Low Adv Engl Life/Work,5
MESL-901,ESL: Beginning English,0
MESL-902,ESL: Elementary English,0
MESL-903,ESL: Higher Elementary,0
MESL-904,ESL:Intermediate English,0
MESL-905,ESL:High Intermediate,0
MESL-906,ESL:Low Advanced English,0
MFAMLF-131,Family Relationships,3
MFDNTR-219,Intro to Nutr Science,3
MFSCI-301,Fire Protection Organization,3
MGEOG-101,Physical Geography,3
MGEOG-102,Cultural Geography,3
MGEOG-110,World Regional Geography,3
MGEOL-180,Geol of the Central Sierra Nev,1
MGEOL-190,International Geol Field Studi,3
MGUIDE-110,Introduction to College,0.5
MGUIDE-111,Career Exploration,1
MGUIDE-112,Job Preparation Skills,1
MHE-110,Healthful Living,3
MHE-111,Women's Health Issues,3
MHE-112,Intro to Public Health,3
MHE-118,Exer/Nut for Healthy Living,3
MHIST-101,History of the U.S. T0 1877,3
MHIST-102,Hist Us Since 1865,3
MHIST-104,Western Civilization to 1650,3
MHIST-105,Wstrn Civilization Since 1650,3
MHIST-106,World Civil to 16th Century,3
MHIST-107,World Civ From 16th Century,3
MHIST-112,20th Cent America,3
MHIST-116,Women in American History,3
MHIST-125,History of Mexico,3
MHIST-129,History of California,3
MHUMAN-101,Intro to Humanities,3
MHUMAN-106,Humanities in Modern World,3
MHUMSR-101,Intro to Human Services,3
MHUMSR-110,Intro Interview/Counsel,3
MHUMSR-111,Counsel Chem Dependency,3
MHUMSR-114,Death and Dying,3
MHUMSR-116,Drugs & Alcohol in Society,3
MHUMSR-117,Interv/Treat in Chem Depend,3
MHUMSR-119,Intro Grp Ldrshp/Grp Proc,3
MMACH-301,Machine Shop 1,3
MMATH-10,Intro to Math,4
MMATH-20,Pre-Algebra,5
MMATH-70,Elementary Algebra,5
MMATH-89,Interm. Algebra Essentials,4
MMATH-90,Intermediate Algebra,5
MMATH-101,Math Ideas/Applications,3
MMATH-105,Structure of Mathematics 1,3
MMATH-121,Pre-Calculus 1,5
MMATH-122,Pre-Calculus 2,5
MMATH-134,Elementary Statistics,4
MMATH-135,Prob Solv Skills Tech Math 134,1
MMATH-171,Calculus: First Course,5
MMATH-172,Calculus: 2nd Course,5
MMDAST-321,Medical Terminology,3
MMICRO-101,Microbiology,4
MMUSA-121,Keyboard Skills 1,1
MMUSG-101,Music Appreciation,3
MMUSG-102,Intro to World Music,3
MMUSG-111,Intro American Pop Music,3
MMUST-101,Music Fundamentals 1,3
MNURSE-52,Nurse Assistant,5
MNURSE-53,Certified Home Health Aide,2
MNURSE-115,Intro for Nursing Majors,1
MNURWE-361,Work Experience-Nursing A,1
MNURWE-362,Work Experience-Nursing B,2
MOFADM-201,Intermediate Keyboarding 1,1
MOFADM-202,Intermediate Keyboarding 2,2
MOFADM-203,Intermediate Keyboarding 3,3
MOFADM-256,Intro to Word Processing,1
MOFADM-259,Intro to Spreadsheet Software,1
MOFADM-261,Introduction to Databases,1
MOFADM-262,Intro to Bus Pres Software,1
MOFADM-301,Beginning Keyboarding,1.5
MOFADM-302,Beginning Document Processing,1.5
MOFADM-303,Keyboard for Speed/Accuracy,0.5
MOFADM-305,Records Management,3
MOFADM-315,Today's Office,2
MOFADM-353,Intro to Computers and Windows,1
MOFADM-363,Understanding the Internet,1
MOFADM-364,Grammar in the Office,1
MOFADM-375,10-KEY on the Computer,1
MPE-100,Intro to Physical Education,3
MPE-109,Perform Thru Mental Training,3
MPE-120,Sports and Society,3
MPE-121,Coaching Effectiveness,3
MPE-124,Intro to Kinesiology,3
MPE-126,Intro to Sport Management,3
MPE-130,Pers Train Health Fitness Inst,3
MPE-141,Supervision in Athletic Train,2
MPE-142,Sprvsn in Athletic Training 2,2
MPE-143,Sprvsn in Athletic Training 3,2
MPE-144,Sprvsn in Athletic Training 4,2
MPEA-104,Adapted Strength Development,1
MPEA-800,Adapt Exercise Mature Adults,0
MPEC-102,Water Aerobics,1
MPEC-140,Exercise for Fitness,1
MPEC-143,Beginning Golf,1
MPEC-148,Yoga for Better Health,1
MPEC-157,Advanced Judo,1
MPEC-164,Self Defense,1
MPEC-187,Pilates for Fitness,1
MPEC-192,Pilates 2,1
MPEC-195,Weight Training,1
MPEM-108,Baseball,1
MPEVM-111A,Train & Cond for Cross Country,1
MPEVM-116A,Training & Cndtng for Football,1
MPEVM-116X,Training & Cndtng for Football,0.5
MPEVM-141A,Train and Cond for Water Polo,1
MPEVM-147A,Train and Cond for Athletics,1
MPEVW-102X,Train and Cond for Basketball,0.5
MPEVW-104A,Train & Cond for Cross Country,1
MPEVW-116A,Training & Condition for Golf,1
MPEVW-124A,Training and Condit for Soccer,1
MPEVW-141A,Train and Cond for Volleyball,1
MPEVW-141X,Train and Cond for Volleyball,0.5
MPEW-166A,Women's Self Defense,1
MPHILO-101,Philosophy,3
MPHILO-103,Symbolic Logic,3
MPHILO-105,Critical Reasoning and Anal Wr,3
MPHILO-135,Environmental Ethics,3
MPHYSO-101,Intro Human Physiology,4
MPOLSC-101,American Politics,3
MPOLSC-120,California Politics & Problems,3
MPSYCH-101,General Psychology,3
MPSYCH-104,Intro to Social Psychology,3
MPSYCH-110,Human Sexualities,3
MPSYCH-130,Personal Adjustment,3
MPSYCH-141,Human Lifespan Devt.,3
MREAD-40,Reading Comprehension,3
MREAD-82,College Reading-Comprehension,3
MREAD-184,Critical Reading,3
MRLES-380,Real Estate Principles,3
MRLES-381,Real Estate Practices,3
MRLES-382,Legal Aspects of Real Estate 1,3
MRSCR-244,Neonatal-Pediatric Resp Care,2
MRSCR-251,Neontl/Ped Clin Prac I,0.5
MRSCR-253,Neontl/Ped Clin Prac II,0.5
MSIGN-125,Asl: Beg Comm With the Deaf,3
MSOCIO-101,Intro to Sociology,3
MSOCIO-102,Social Problems in the U S,3
MSOCIO-125,Sociology of the Family,3
MSOCIO-150,Ethnicity & Culture in America,3
MSPAN-101,Spanish 1,5
MSPAN-102,Spanish 2,5
MSPAN-173,Survey Latin Amer Lit,3
MSTSK-25,Student Success Strategies,1
MSTSK-78,College Study Skills,3
MSUPR-351,Elements of Supervision,3
MTHETR-100,Intro to Theatre Arts,3
MTUTOR-100,Tutor Training,1
MTUTOR-850,Supervised Tutoring,0
MWELD-200,Arc & Gas Welding,3
MWELD-204,Gas Met Arc Weld & Flux Core,3
MWELD-206,Gas Tung Arc Weld (G.T.A.W.),3
MWELD-300,Intermediate Welding,3
